scene,view,psnr,ssim,lpips
mic,00185.png,37.84395217895508,0.9944366216659546,0.005411576945334673
mic,00053.png,35.735965728759766,0.9944376945495605,0.003278518095612526
mic,00062.png,36.859153747558594,0.9944624304771423,0.0046425871551036835
mic,00091.png,38.101715087890625,0.9945206046104431,0.004994649440050125
mic,00186.png,37.950828552246094,0.9945561289787292,0.005100289359688759
mic,00174.png,37.55269241333008,0.9945586323738098,0.00551031157374382
mic,00173.png,37.78074645996094,0.9945665597915649,0.0051000360399484634
mic,00171.png,38.25399398803711,0.9945694208145142,0.005878729745745659
mic,00187.png,38.02262878417969,0.9945836067199707,0.005410594865679741
mic,00056.png,36.808441162109375,0.9945852756500244,0.0034174425527453423
mic,00042.png,37.71541976928711,0.9946002960205078,0.003929990343749523
mic,00165.png,37.10219955444336,0.9946963787078857,0.0043703848496079445
mic,00015.png,38.2207145690918,0.994774580001831,0.004860426299273968
mic,00176.png,37.76385498046875,0.9947769641876221,0.005239298567175865
mic,00188.png,38.100486755371094,0.9948064088821411,0.004592509008944035
mic,00183.png,37.91571044921875,0.9948626160621643,0.005191829055547714
mic,00027.png,37.824588775634766,0.9948928952217102,0.004611101932823658
mic,00154.png,36.669193267822266,0.9949345588684082,0.0032317268196493387
mic,00147.png,37.36715316772461,0.9949937462806702,0.002910154638811946
mic,00182.png,37.844398498535156,0.9950098991394043,0.004985090345144272
mic,00169.png,38.41575241088867,0.9950160384178162,0.004770252387970686
mic,00175.png,38.05146026611328,0.995049238204956,0.004753150977194309
mic,00057.png,37.26069641113281,0.9950777888298035,0.0032293638214468956
mic,00189.png,38.37062072753906,0.9950821995735168,0.004105451516807079
mic,00172.png,38.37329864501953,0.9950851798057556,0.004943255800753832
mic,00043.png,38.043941497802734,0.9950892329216003,0.0033127786591649055
mic,00052.png,35.91502380371094,0.9950920939445496,0.002905826084315777
mic,00028.png,38.414886474609375,0.9950920939445496,0.004390133079141378
mic,00177.png,38.12267303466797,0.9951170086860657,0.004756533540785313
mic,00157.png,37.623695373535156,0.9951239824295044,0.002991875633597374
mic,00026.png,38.152774810791016,0.9951465129852295,0.00483881589025259
mic,00029.png,38.386863708496094,0.9951533675193787,0.004373749252408743
mic,00153.png,36.233184814453125,0.9951725602149963,0.0030280030332505703
mic,00058.png,37.485076904296875,0.9952374696731567,0.003293579677119851
mic,00061.png,37.49082946777344,0.9952396154403687,0.0037346105091273785
mic,00155.png,37.2794303894043,0.9952576756477356,0.0028044404461979866
mic,00076.png,37.461544036865234,0.9952629208564758,0.004741073586046696
mic,00166.png,37.823280334472656,0.995291531085968,0.003991255536675453
mic,00168.png,38.02804183959961,0.9953046441078186,0.003926009405404329
mic,00156.png,37.50419235229492,0.9953376054763794,0.0028140568174421787
mic,00181.png,38.19134521484375,0.9954001903533936,0.004898217972368002
mic,00178.png,38.339744567871094,0.9955062866210938,0.004246347583830357
mic,00014.png,38.815467834472656,0.9955179691314697,0.003947282209992409
mic,00180.png,38.505271911621094,0.995523989200592,0.0048652272671461105
mic,00059.png,37.82404708862305,0.9955329298973083,0.003240319900214672
mic,00167.png,38.07719421386719,0.9955372214317322,0.0038793140556663275
mic,00152.png,36.255889892578125,0.9955430030822754,0.0028501288034021854
mic,00044.png,38.155853271484375,0.995556116104126,0.002851833589375019
mic,00190.png,38.83601760864258,0.9955799579620361,0.0035924820695072412
mic,00179.png,38.58045959472656,0.9956333637237549,0.004733006935566664
mic,00060.png,37.91755294799805,0.9956545233726501,0.0033138301223516464
mic,00148.png,37.70343017578125,0.9957910180091858,0.0024746849667280912
mic,00084.png,39.16143035888672,0.9958216547966003,0.0047148969024419785
mic,00077.png,38.63054275512695,0.9959115386009216,0.0044068098068237305
mic,00045.png,38.25910186767578,0.995931088924408,0.0026189209893345833
mic,00151.png,36.67127990722656,0.9959532022476196,0.0025677259545773268
mic,00085.png,39.50859069824219,0.9959583878517151,0.004772112239152193
mic,00051.png,36.68357849121094,0.9959619045257568,0.002557413186877966
mic,00081.png,39.2099494934082,0.9959661364555359,0.00438994076102972
mic,00080.png,39.012367248535156,0.9959838390350342,0.004184873774647713
mic,00082.png,39.22208023071289,0.9959964752197266,0.004479964263737202
mic,00046.png,38.233028411865234,0.9959980845451355,0.0028138007037341595
mic,00086.png,39.5870361328125,0.9960496425628662,0.004559725522994995
mic,00191.png,39.26255798339844,0.9960549473762512,0.00307281082496047
mic,00090.png,39.79210662841797,0.9960687160491943,0.003988426178693771
mic,00013.png,39.38439178466797,0.9960972666740417,0.0035488333087414503
mic,00083.png,39.36758804321289,0.9961563944816589,0.004436206072568893
mic,00079.png,39.544761657714844,0.9963594675064087,0.004001705441623926
mic,00150.png,37.268436431884766,0.9964078068733215,0.002080434700474143
mic,00087.png,40.12147903442383,0.9964173436164856,0.004093793220818043
mic,00149.png,37.85221481323242,0.9964879155158997,0.0022663194686174393
mic,00192.png,39.78943634033203,0.9964930415153503,0.0027969602961093187
mic,00001.png,39.906402587890625,0.9966620802879333,0.002834323327988386
mic,00003.png,40.04024887084961,0.9966750741004944,0.0026433132588863373
mic,00078.png,39.72533416748047,0.9966885447502136,0.003683532355353236
mic,00012.png,40.12351608276367,0.9967102408409119,0.0029072777833789587
mic,00002.png,40.037845611572266,0.9967437982559204,0.002545667579397559
mic,00047.png,38.833499908447266,0.9968258738517761,0.0021881884895265102
mic,00004.png,40.25885009765625,0.9968389868736267,0.002564635593444109
mic,00195.png,40.24278259277344,0.9968498945236206,0.0025040083564817905
mic,00009.png,40.516624450683594,0.9968512058258057,0.002760471310466528
mic,00088.png,40.8782958984375,0.9968568086624146,0.0036299810744822025
