view,base_psnr,h1_psnr,delta_psnr,base_ssim,h1_ssim,delta_ssim,base_lpips,h1_lpips,delta_lpips
00014.png,17.334718704223633,18.426523208618164,1.0918045043945312,0.7253075242042542,0.7290734052658081,0.003765881061553955,0.2601832449436188,0.2541159391403198,0.00606730580329895
00015.png,20.930978775024414,20.73980712890625,-0.19117164611816406,0.7392438650131226,0.7419676184654236,0.0027237534523010254,0.1909901201725006,0.1930389404296875,-0.0020488202571868896
00016.png,20.288925170898438,19.298526763916016,-0.9903984069824219,0.711910605430603,0.7098461389541626,-0.0020644664764404297,0.294625461101532,0.29631829261779785,-0.0016928315162658691
00017.png,20.359127044677734,20.395509719848633,0.03638267517089844,0.7024368643760681,0.7024151682853699,-2.1696090698242188e-05,0.2688109874725342,0.2659275531768799,0.002883434295654297
00018.png,19.920747756958008,19.69550132751465,-0.22524642944335938,0.6968370079994202,0.6993315815925598,0.0024945735931396484,0.2783917784690857,0.2737470269203186,0.00464475154876709
00019.png,23.72818946838379,23.127376556396484,-0.6008129119873047,0.8219116926193237,0.8229295611381531,0.0010178685188293457,0.18821248412132263,0.181086927652359,0.007125556468963623
00020.png,20.11334991455078,20.421789169311523,0.3084392547607422,0.7688207030296326,0.7699551582336426,0.0011344552040100098,0.26554012298583984,0.26194724440574646,0.003592878580093384
00021.png,22.7395076751709,22.78745460510254,0.047946929931640625,0.8557135462760925,0.8551701307296753,-0.0005434155464172363,0.18857422471046448,0.18568719923496246,0.002887025475502014
00022.png,22.32772445678711,23.733339309692383,1.4056148529052734,0.9153563380241394,0.9208181500434875,0.0054618120193481445,0.13350452482700348,0.13245567679405212,0.001048848032951355
00023.png,23.855159759521484,21.635189056396484,-2.219970703125,0.8649601936340332,0.8636192679405212,-0.0013409256935119629,0.1614990383386612,0.15779826045036316,0.0037007778882980347
00024.png,18.338603973388672,17.970788955688477,-0.3678150177001953,0.816901445388794,0.8120799660682678,-0.004821479320526123,0.19980919361114502,0.20190121233463287,-0.002092018723487854
00025.png,23.742454528808594,24.098159790039062,0.35570526123046875,0.8460010886192322,0.8493133187294006,0.003312230110168457,0.13985395431518555,0.13695183396339417,0.002902120351791382
00026.png,22.185073852539062,22.352285385131836,0.16721153259277344,0.8236375451087952,0.8309362530708313,0.007298707962036133,0.18069198727607727,0.18298040330410004,-0.002288416028022766
00027.png,21.872047424316406,21.771745681762695,-0.10030174255371094,0.8040884733200073,0.8022806644439697,-0.0018078088760375977,0.2147429883480072,0.2114582657814026,0.0032847225666046143
00028.png,18.706876754760742,19.495939254760742,0.7890625,0.7283858060836792,0.7450241446495056,0.016638338565826416,0.21663106977939606,0.21063101291656494,0.006000056862831116
00029.png,26.26432228088379,25.516338348388672,-0.7479839324951172,0.887365996837616,0.886154055595398,-0.0012119412422180176,0.1476069688796997,0.14908817410469055,-0.0014812052249908447
00030.png,24.059009552001953,23.697078704833984,-0.36193084716796875,0.8253493309020996,0.8294439911842346,0.00409466028213501,0.20003609359264374,0.19791892170906067,0.002117171883583069
00031.png,27.894533157348633,28.406064987182617,0.5115318298339844,0.9079903364181519,0.9113662838935852,0.0033759474754333496,0.1399383246898651,0.135342538356781,0.0045957863330841064
00032.png,24.251726150512695,23.875539779663086,-0.3761863708496094,0.8793200254440308,0.8774305582046509,-0.0018894672393798828,0.17163851857185364,0.17480313777923584,-0.003164619207382202
00033.png,15.872721672058105,15.134797096252441,-0.7379245758056641,0.6270191073417664,0.6332119703292847,0.0061928629875183105,0.3580873906612396,0.3501194715499878,0.007967919111251831
00034.png,19.930763244628906,20.209300994873047,0.2785377502441406,0.8147136569023132,0.8141483068466187,-0.0005653500556945801,0.22934536635875702,0.22681772708892822,0.0025276392698287964
00035.png,16.14279556274414,16.467052459716797,0.32425689697265625,0.7883966565132141,0.7803472876548767,-0.008049368858337402,0.2864193022251129,0.28166353702545166,0.004755765199661255
00036.png,23.05861473083496,23.78384017944336,0.7252254486083984,0.8438991904258728,0.8465278148651123,0.002628624439239502,0.16158974170684814,0.16174931824207306,-0.00015957653522491455
