timestamp,gpu_mem_mb
2026-06-13T22:14:21.172561+08:00,3973
2026-06-13T22:14:26.211937+08:00,4053
2026-06-13T22:14:31.261030+08:00,4053
2026-06-13T22:14:36.309339+08:00,4119
2026-06-13T22:14:41.358250+08:00,4119
2026-06-13T22:14:46.394428+08:00,4205
2026-06-13T22:14:51.437717+08:00,4205
2026-06-13T22:14:56.494010+08:00,4321
2026-06-13T22:15:01.545867+08:00,4321
2026-06-13T22:15:06.596529+08:00,4445
2026-06-13T22:15:11.637349+08:00,4413
2026-06-13T22:15:16.680838+08:00,4413
2026-06-13T22:15:21.732639+08:00,4119
2026-06-13T22:15:26.786968+08:00,4321
2026-06-13T22:15:31.840524+08:00,4167
2026-06-13T22:15:36.890419+08:00,4167
2026-06-13T22:15:41.936507+08:00,4165
2026-06-13T22:15:46.983933+08:00,4165
2026-06-13T22:15:52.031879+08:00,4111
2026-06-13T22:15:57.082913+08:00,4111
2026-06-13T22:16:02.129604+08:00,4135
2026-06-13T22:16:07.185246+08:00,4135
2026-06-13T22:16:12.232244+08:00,4137
2026-06-13T22:16:17.279397+08:00,4213
2026-06-13T22:16:22.334724+08:00,4213
2026-06-13T22:16:27.379508+08:00,4183
2026-06-13T22:16:32.447593+08:00,4183
2026-06-13T22:16:37.508104+08:00,4193
2026-06-13T22:16:42.573059+08:00,4193
2026-06-13T22:16:47.622466+08:00,4175
2026-06-13T22:16:52.668418+08:00,4175
2026-06-13T22:16:57.755595+08:00,4159
2026-06-13T22:17:02.848107+08:00,4139
2026-06-13T22:17:07.899918+08:00,4341
2026-06-13T22:17:12.948189+08:00,4145
2026-06-13T22:17:18.030538+08:00,4145
2026-06-13T22:17:23.069371+08:00,4253
2026-06-13T22:17:28.142790+08:00,4253
2026-06-13T22:17:33.193244+08:00,4037
2026-06-13T22:17:38.241000+08:00,3817
2026-06-13T22:17:43.285042+08:00,4335
2026-06-13T22:17:48.334795+08:00,4335
2026-06-13T22:17:53.383825+08:00,4243
2026-06-13T22:17:58.431927+08:00,4243
2026-06-13T22:18:03.542223+08:00,4193
2026-06-13T22:18:08.584910+08:00,4139
2026-06-13T22:18:13.621228+08:00,4139
2026-06-13T22:18:18.671393+08:00,4193
2026-06-13T22:18:23.729293+08:00,4193
2026-06-13T22:18:28.772420+08:00,4175
2026-06-13T22:18:33.814209+08:00,4175
2026-06-13T22:18:38.852002+08:00,4175
2026-06-13T22:18:43.897489+08:00,4175
2026-06-13T22:18:48.945872+08:00,4197
2026-06-13T22:18:53.987687+08:00,4177
2026-06-13T22:18:59.034770+08:00,4177
2026-06-13T22:19:04.077254+08:00,4199
2026-06-13T22:19:09.127123+08:00,4199
2026-06-13T22:19:14.167713+08:00,4195
2026-06-13T22:19:19.214029+08:00,4195
2026-06-13T22:19:24.257664+08:00,4159
2026-06-13T22:19:29.311524+08:00,4159
2026-06-13T22:19:34.366018+08:00,4145
2026-06-13T22:19:39.418866+08:00,4139
2026-06-13T22:19:44.464815+08:00,4341
2026-06-13T22:19:49.518186+08:00,4143
2026-06-13T22:19:54.562703+08:00,4143
2026-06-13T22:19:59.628348+08:00,4299
2026-06-13T22:20:04.730716+08:00,4299
2026-06-13T22:20:09.827906+08:00,4123
2026-06-13T22:20:14.889637+08:00,4123
2026-06-13T22:20:19.970659+08:00,4123
2026-06-13T22:20:25.017604+08:00,4193
2026-06-13T22:20:30.076199+08:00,4193
2026-06-13T22:20:35.123551+08:00,4149
2026-06-13T22:20:40.189544+08:00,4149
2026-06-13T22:20:45.228101+08:00,4185
2026-06-13T22:20:50.276104+08:00,4185
2026-06-13T22:20:55.322881+08:00,4147
2026-06-13T22:21:00.362823+08:00,4117
2026-06-13T22:21:05.412918+08:00,4117
2026-06-13T22:21:10.458061+08:00,4125
2026-06-13T22:21:15.496686+08:00,4125
2026-06-13T22:21:20.540072+08:00,4129
2026-06-13T22:21:25.579366+08:00,4129
2026-06-13T22:21:30.630960+08:00,4153
2026-06-13T22:21:35.684953+08:00,4121
2026-06-13T22:21:40.741398+08:00,4121
2026-06-13T22:21:45.793548+08:00,4081
2026-06-13T22:21:50.842128+08:00,4283
2026-06-13T22:21:55.898457+08:00,4119
2026-06-13T22:22:00.950296+08:00,4321
2026-06-13T22:22:05.992686+08:00,4177
2026-06-13T22:22:11.041920+08:00,4085
2026-06-13T22:22:16.078509+08:00,4085
2026-06-13T22:22:21.125939+08:00,4107
2026-06-13T22:22:26.171369+08:00,4107
2026-06-13T22:22:31.215147+08:00,4205
2026-06-13T22:22:36.257211+08:00,4205
2026-06-13T22:22:41.299402+08:00,4157
2026-06-13T22:22:46.341944+08:00,4155
2026-06-13T22:22:51.386016+08:00,4155
2026-06-13T22:22:56.423143+08:00,3963
2026-06-13T22:23:01.464519+08:00,4165
2026-06-13T22:23:06.516869+08:00,4143
2026-06-13T22:23:11.566554+08:00,4143
2026-06-13T22:23:16.605676+08:00,4161
2026-06-13T22:23:21.653815+08:00,4161
2026-06-13T22:23:26.699488+08:00,4221
2026-06-13T22:23:31.749769+08:00,4141
2026-06-13T22:23:36.802376+08:00,4141
2026-06-13T22:23:41.852627+08:00,4091
2026-06-13T22:23:46.902701+08:00,4091
2026-06-13T22:23:51.949765+08:00,4081
2026-06-13T22:23:57.006648+08:00,4081
2026-06-13T22:24:02.050457+08:00,4159
2026-06-13T22:24:07.099288+08:00,4235
2026-06-13T22:24:12.146275+08:00,4235
2026-06-13T22:24:17.200349+08:00,4095
2026-06-13T22:24:22.249900+08:00,4095
2026-06-13T22:24:27.293906+08:00,4123
2026-06-13T22:24:32.336213+08:00,4123
2026-06-13T22:24:37.384758+08:00,4121
2026-06-13T22:24:42.427659+08:00,4161
2026-06-13T22:24:47.474025+08:00,4161
2026-06-13T22:24:52.520473+08:00,4131
2026-06-13T22:24:57.563444+08:00,4131
2026-06-13T22:25:02.617307+08:00,4165
2026-06-13T22:25:07.664107+08:00,4165
2026-06-13T22:25:12.715434+08:00,4109
2026-06-13T22:25:17.807866+08:00,4167
2026-06-13T22:25:22.849468+08:00,4167
2026-06-13T22:25:27.945736+08:00,4163
2026-06-13T22:25:32.998120+08:00,4163
2026-06-13T22:25:38.083725+08:00,4125
2026-06-13T22:25:43.123461+08:00,4125
2026-06-13T22:25:48.177387+08:00,4139
2026-06-13T22:25:53.221352+08:00,4053
2026-06-13T22:25:58.272221+08:00,4127
2026-06-13T22:26:03.324206+08:00,4165
2026-06-13T22:26:08.376112+08:00,4165
2026-06-13T22:26:13.413839+08:00,4107
2026-06-13T22:26:18.462245+08:00,4107
2026-06-13T22:26:23.525209+08:00,4109
2026-06-13T22:26:28.609951+08:00,4109
2026-06-13T22:26:33.660965+08:00,4117
2026-06-13T22:26:38.698519+08:00,4133
2026-06-13T22:26:43.743226+08:00,4133
2026-06-13T22:26:48.789058+08:00,4005
2026-06-13T22:26:53.834913+08:00,4005
2026-06-13T22:26:58.905706+08:00,4177
2026-06-13T22:27:03.954466+08:00,4177
2026-06-13T22:27:08.994527+08:00,4175
2026-06-13T22:27:14.034960+08:00,4165
2026-06-13T22:27:19.082074+08:00,4165
2026-06-13T22:27:24.155668+08:00,4163
2026-06-13T22:27:29.197378+08:00,4163
2026-06-13T22:27:34.249598+08:00,4167
2026-06-13T22:27:39.295272+08:00,4167
2026-06-13T22:27:44.340567+08:00,4149
2026-06-13T22:27:49.388919+08:00,4139
2026-06-13T22:27:54.432609+08:00,4139
